"('Cation A', 'MA')","('Cation A', 'FA')","('Cation A', 'Cs')","('Cation B', 'Pb')","('Cation B', 'Sn')","('Halogen X', 'Br')","('Halogen X', 'Cl')","('Halogen X', 'I')",Band Gap,Delta H,PCE,J_sc,V_oc,Fill Factor
1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,1.5,0.15,11.0,1.2,21.1,0.8
1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,1.5,0.3,15.1,0.94,17.51,0.8
0.15,0.85,0.0,1.0,0,0.15,0.0,0.85,1.72,0.4,17.1,1.12,21.34,0.69
0.17,0.83,0.0,1.0,0,0.4,0.0,0.6,1.72,0.4,15.0,1.05,21.34,0.71
0.15,0.85,0.0,1.0,0,0.15,0.0,0.85,1.72,0.4,16.5,1.11,21.46,0.76
0.15,0.8075,0.0,1.0,0,0.15,0.15,0.835833,1.62,0.64,18.1,1.03,20.62,0.67
0.15,0.8075,0.0,1.0,0,0.15,0.15,0.835833,1.62,0.84,18.1,1.03,20.62,0.67
1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,1.59,0.4,13.5,1.0,22.2,0.72
1.0,0.0,0.0,1.0,0,0.0,0.05,0.95,1.55,0.1,11.1,1.04,22.51,0.78
0.25,0.7,0.05,1.0,0,0.0,0.0,1.0,1.56,0.19,17.0,1.08,20.48,0.78
0.17,0.83,0.0,1.1,0,0.167,0.0,0.933333,1.5,0.14,14.5,1.1,21.24,0.68
0.17,0.83,0.0,1.1,0,0.167,0.0,0.933333,1.5,0.1,17.5,1.06,21.4,0.76
0.17,0.83,0.0,1.1,0,0.167,0.0,0.933333,1.5,0.1,18.5,1.13,21.5,0.71
0.17,0.83,0.0,1.1,0,0.167,0.0,0.933333,1.5,0.2,18.9,1.15,21.68,0.76
0.17,0.83,0.0,1.1,0,0.167,0.0,0.933333,1.5,0.3,19.0,1.1,22.3,0.78
0.17,0.83,0.0,1.1,0,0.167,0.0,0.933333,1.5,0.14,19.0,1.06,22.3,0.77
0.17,0.83,0.0,1.1,0,0.167,0.0,0.933333,1.5,0.14,19.0,1.06,22.3,0.77
0.17,0.83,0.0,1.1,0,0.167,0.0,0.933333,1.5,0.14,19.0,1.06,22.3,0.77
1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,1.5,0.4,11.1,1.0,17.51,0.67
0.15,0.85,0.0,1.0,0,0.15,0.0,0.85,1.63,0.22,20.6,1.14,23.28,0.76
